         functype[277]=LJ_SR, c6= 4.33380686e-04, c12= 1.99954940e-07
         functype[278]=LJ_SR, c6= 9.78485605e-06, c12= 3.72787828e-10
         functype[279]=LJ_SR, c6= 6.82375685e-05, c12= 1.81300894e-08
         functype[280]=LJ_SR, c6= 7.74857981e-05, c12= 2.39166997e-08
         functype[281]=LJ_SR, c6= 4.86127596e-04, c12= 2.51350798e-07
         functype[282]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[283]=LJ_SR, c6= 8.77682702e-04, c12= 7.51636378e-07
         functype[284]=LJ_SR, c6= 4.93894273e-04, c12= 3.59800595e-07
         functype[285]=LJ_SR, c6= 8.39481290e-05, c12= 2.74394178e-08
         functype[286]=LJ_SR, c6= 4.37899434e-04, c12= 3.19008478e-07
         functype[287]=LJ_SR, c6= 4.33380686e-04, c12= 1.99954940e-07
         functype[288]=LJ_SR, c6= 5.29074110e-04, c12= 3.31215972e-07
         functype[289]=LJ_SR, c6= 6.82375685e-05, c12= 1.81300894e-08
         functype[290]=LJ_SR, c6= 7.74857981e-05, c12= 2.39166997e-08
         functype[291]=LJ_SR, c6= 8.77682702e-04, c12= 7.51636378e-07
         functype[292]=LJ_SR, c6= 3.60611084e-05, c12= 5.06326892e-09
         functype[293]=LJ_SR, c6= 9.78485605e-06, c12= 3.72787828e-10
         functype[294]=LJ_SR, c6= 5.74294943e-04, c12= 3.29297279e-07
         functype[295]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[296]=LJ_SR, c6= 7.31516557e-05, c12= 4.96033188e-08
         functype[297]=LJ_SR, c6= 3.14098387e-03, c12= 3.11696795e-06
         functype[298]=LJ_SR, c6= 7.51872285e-05, c12= 5.87710902e-09
         functype[299]=LJ_SR, c6= 2.89984094e-03, c12= 3.31180581e-06
         functype[300]=LJ_SR, c6= 2.42388909e-04, c12= 6.10802857e-08
         functype[301]=LJ_SR, c6= 5.24200674e-04, c12= 2.85674020e-07
         functype[302]=LJ_SR, c6= 2.57107406e-03, c12= 2.93633275e-06
         functype[303]=LJ_SR, c6= 2.63297977e-03, c12= 1.97065583e-06
         functype[304]=LJ_SR, c6= 2.63297977e-03, c12= 1.97065583e-06
         functype[305]=LJ_SR, c6= 7.51872285e-05, c12= 5.87710902e-09
         functype[306]=LJ_SR, c6= 4.33488312e-04, c12= 1.95357629e-07
         functype[307]=LJ_SR, c6= 4.86127596e-04, c12= 2.51350798e-07
         functype[308]=LJ_SR, c6= 2.92772264e-03, c12= 2.43423369e-06
         functype[309]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[310]=LJ_SR, c6= 5.09412307e-03, c12= 6.76074023e-06
         functype[311]=LJ_SR, c6= 2.89984094e-03, c12= 3.31180581e-06
         functype[312]=LJ_SR, c6= 5.24200674e-04, c12= 2.85674020e-07
         functype[313]=LJ_SR, c6= 2.57107406e-03, c12= 2.93633275e-06
         functype[314]=LJ_SR, c6= 2.63297977e-03, c12= 1.97065583e-06
         functype[315]=LJ_SR, c6= 3.14098387e-03, c12= 3.11696795e-06
         functype[316]=LJ_SR, c6= 4.33488312e-04, c12= 1.95357629e-07
         functype[317]=LJ_SR, c6= 4.86127596e-04, c12= 2.51350798e-07
         functype[318]=LJ_SR, c6= 5.09412307e-03, c12= 6.76074023e-06
         functype[319]=LJ_SR, c6= 2.42388909e-04, c12= 6.10802857e-08
         functype[320]=LJ_SR, c6= 7.51872285e-05, c12= 5.87710902e-09
         functype[321]=LJ_SR, c6= 3.43180238e-03, c12= 3.13968008e-06
         functype[322]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[323]=LJ_SR, c6= 4.31743043e-04, c12= 4.61355626e-07
         functype[324]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[325]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[326]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[327]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[328]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[329]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[330]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[331]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[332]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[333]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[334]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[335]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[336]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[337]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[338]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[339]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[340]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[341]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[342]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[343]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[344]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[345]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[346]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[347]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
         functype[348]=LJ_SR, c6= 0.00000000e+00, c12= 0.00000000e+00
